Taxon,Abundance,MeanAnnualTemperature,TotalAnnualPrecipitation
Bombus impatiens,0,65,500
Bombus impatiens,0,161,893
Bombus impatiens,8,118,1011
Bombus impatiens,6,107,936
Bombus impatiens,5,117,954
Bombus impatiens,12,118,962
Bombus impatiens,15,110,972
Bombus impatiens,10,75,850
Bombus impatiens,24,98,905
Bombus impatiens,0,78,856
Bombus impatiens,2,125,1247
Bombus impatiens,0,67,621
Bombus impatiens,0,68,473
Bombus impatiens,0,47,416
Bombus impatiens,0,48,440
Bombus impatiens,0,56,425
Bombus impatiens,0,124,602
Bombus impatiens,0,158,756
Bombus impatiens,0,195,839
Bombus impatiens,0,127,814
Bombus impatiens,0,199,845
Bombus impatiens,0,169,1025
Bombus impatiens,0,124,916
Bombus impatiens,0,207,1222
Bombus impatiens,1,68,740
Bombus impatiens,65,138,1216
Bombus impatiens,0,128,1113
Bombus impatiens,0,182,1192
Bombus impatiens,1,129,1101
Bombus impatiens,1,119,983
Bombus impatiens,0,30,710
Bombus impatiens,21,70,833
Bombus impatiens,27,66,827
Bombus impatiens,4,110,943
Bombus impatiens,6,109,936
Bombus impatiens,1,109,936
Bombus impatiens,26,109,936
Bombus impatiens,4,70,812
Bombus impatiens,35,70,812
Bombus impatiens,17,76,814
Bombus impatiens,51,130,1126
Bombus impatiens,4,86,912
Bombus impatiens,2,196,1612
Bombus impatiens,0,111,986
Bombus impatiens,2,111,986
Bombus impatiens,0,110,982
Bombus impatiens,2,110,982
Bombus impatiens,17,136,1211
Bombus impatiens,4,170,1458
Bombus impatiens,20,103,953
Bombus impatiens,39,133,1175
Bombus impatiens,0,75,1220
Bombus impatiens,0,71,1201
Bombus impatiens,0,71,1201
Bombus impatiens,0,74,1248
Bombus impatiens,0,64,1172
Bombus impatiens,8,83,896
Bombus impatiens,57,76,814
Bombus impatiens,0,174,728
Bombus impatiens,1,89,616
Bombus impatiens,1,94,634
Bombus impatiens,0,198,864
Bombus impatiens,0,160,886
Bombus impatiens,7,104,738
Bombus impatiens,0,121,867
Bombus impatiens,2,126,927
Bombus impatiens,35,88,775
Bombus impatiens,1,126,964
Bombus impatiens,0,207,1222
Bombus impatiens,12,188,1289
Bombus impatiens,4,144,1154
Bombus impatiens,1,68,743
Bombus impatiens,5,177,1371
Bombus impatiens,11,96,922
Bombus impatiens,27,107,934
Bombus impatiens,20,124,993
Bombus impatiens,5,70,789
Bombus impatiens,47,68,833
Bombus impatiens,9,165,1266
Bombus impatiens,6,72,818
Bombus impatiens,21,67,823
Bombus impatiens,26,126,991
Bombus impatiens,0,126,991
Bombus impatiens,1,124,966
Bombus impatiens,1,160,1305
Bombus impatiens,29,84,880
Bombus impatiens,25,65,833
Bombus impatiens,0,129,975
Bombus impatiens,0,118,953
Bombus impatiens,60,70,812
Bombus impatiens,9,99,932
Bombus impatiens,54,102,930
Bombus impatiens,22,76,814
Bombus impatiens,9,130,1126
Bombus impatiens,4,86,912
Bombus impatiens,10,117,954
Bombus impatiens,46,134,1189
Bombus impatiens,16,140,1251
Bombus impatiens,11,110,982
Bombus impatiens,63,168,1420
Bombus impatiens,4,114,994
Bombus impatiens,14,111,982
Bombus impatiens,32,88,919
Bombus impatiens,20,198,1535
Bombus impatiens,58,142,1364
Bombus impatiens,14,141,1260
Bombus impatiens,61,106,1047
Bombus impatiens,71,106,1047
Bombus impatiens,0,181,1332
Bombus impatiens,11,97,957
Bombus impatiens,11,141,1324
Bombus impatiens,56,123,1170
Bombus impatiens,14,179,1432
Bombus impatiens,93,118,1104
Bombus impatiens,47,116,1109
Bombus impatiens,8,145,1430
Bombus impatiens,8,125,1164
Bombus impatiens,5,148,1423
Bombus impatiens,14,131,1514
Bombus impatiens,12,99,884
Bombus impatiens,29,148,1459
Bombus impatiens,11,133,1420
Bombus impatiens,6,160,1285
Bombus impatiens,0,99,858
Bombus impatiens,43,117,1289
Bombus impatiens,5,127,1144
Bombus impatiens,9,127,1147
Bombus impatiens,51,164,1185
Bombus impatiens,35,92,1599
Bombus impatiens,41,93,956
Bombus impatiens,5,118,1376
Bombus impatiens,26,105,1446
Bombus impatiens,20,158,1223
Bombus impatiens,14,100,1020
Bombus impatiens,53,108,1183
Bombus impatiens,1,168,1139
Bombus impatiens,9,134,1218
Bombus impatiens,45,162,1178
Bombus impatiens,37,160,1176
Bombus impatiens,65,128,1038
Bombus impatiens,8,147,1144
Bombus impatiens,22,87,854
Bombus impatiens,73,131,1101
Bombus impatiens,38,75,1054
Bombus impatiens,61,94,986
Bombus impatiens,24,86,835
Bombus impatiens,19,83,894
Bombus impatiens,1,53,1071
Bombus impatiens,51,96,1087
Bombus impatiens,7,78,1163
Bombus impatiens,48,109,1148
Bombus impatiens,100,93,1217
Bombus impatiens,2,58,1312
Bombus impatiens,56,108,1147
Bombus impatiens,49,88,1143
Bombus impatiens,5,55,1209
Bombus impatiens,46,90,1180
Bombus impatiens,13,75,1142
Bombus impatiens,29,93,1148
Bombus impatiens,6,85,865
Bombus impatiens,2,96,890
Bombus impatiens,0,82,449
Bombus impatiens,0,40,468
Bombus impatiens,1,69,582
Bombus impatiens,0,78,619
Bombus impatiens,1,66,664
Bombus impatiens,12,68,780
Bombus impatiens,14,112,982
Bombus impatiens,1,126,991
Bombus impatiens,26,88,919
Bombus impatiens,106,88,919
Bombus impatiens,15,106,1047
Bombus impatiens,28,123,1173
Bombus impatiens,20,121,1171
Bombus impatiens,40,97,959
Bombus impatiens,38,118,1104
Bombus impatiens,0,126,991
Bombus impatiens,6,104,734
Bombus impatiens,4,102,805
