"SpRich","Longitude","Latitude","Site","AnnualTemp","AnnualPrecip"
6,33.87825,28.6385,"Wadi Salafe",165,20
6,31.26852222,29.85073611,"El Badrshein",220,16
7,33.954576,28.535323,"Mt. Sinai",113,81
15,34.42680556,28.07939444,"Nabq",234,5
6,31.12562778,30.0465,"Nahya",210,18
2,34.34463889,28.54305556,"Coastal plain of Talet El-Nakhla",159,27
1,30.35633333,31.14507222,"Beheira Nakhla",203,131
7,34.83205278,29.59599722,"Ras El-Naqab",193,30
1,34.29999444,28.59758333,"Wadi Nasab",178,15
3,30.52191389,25.25471667,"Nasser village",243,0
1,30.98584444,29.34839722,"El Nassariya",213,7
15,32.553225,25.29323611,"Wadi Nassim",249,0
2,31.52088889,30.02945833,"Wadi el Nasouri",206,29
43,30.25561389,30.40133889,"Wadi el Natroun",210,49
1,31.26088333,30.22510833,"Nawa",211,24
1,32.22121389,30.56556111,"Nefisha",219,31
2,28.44031667,31.02918889,"El-Negeela, 52 km west Matruh",192,124
2,30.06729722,30.66225556,"Nubareia",203,78
1,31.24251944,30.00675,"Old Cairo walls",214,17
18,29.602472,30.922419,"Bahig",192,115
9,32.94198611,24.479175,"Kom Ombo",255,0
20,30.92621667,29.52941944,"Kom Oshim",214,11
1,31.13291944,30.12131944,"Ausim",209,20
2,30.81517222,29.1655,"Kalamshah",210,6
5,31.20523333,30.17797222,"Qalyub",210,22
1,31.34945278,30.51539167,"Mina el Qamh",205,31
3,32.31061667,30.87149722,"El Qantara",216,50
9,30.63843333,29.46605556,"Lake Qarun",212,10
1,30.40846111,29.39816111,"Qasr Qarun",208,11
3,28.44031667,31.02918889,"El Qasr",192,124
8,28.84656944,28.35718889,"Baharaiya Oasis, Bir Qasr No. 1",212,1
2,31.28716389,29.64811667,"Atf",221,13
3,31.82397222,29.92483889,"Gebel Katamiya",204,27
4,26.75350278,29.4475,"Qattara Depression cliffs",211,17
4,32.713325,26.17236667,"Qena",241,0
8,31.88054444,29.31406389,"Wadi Qiseib",186,26
7,31.13507778,30.54936111,"Quesna (Quweisna)",206,32
3,30.05493056,31.31661111,"Abu Qir",205,183
6,34.2886,26.10491111,"Quseir",247,2
2,33.94320556,28.55215,"Wadi el Raba",140,38
2,33.94320556,28.55215,"El Raba",140,38
2,34.21531667,31.30491111,"Rafa",197,224
10,33.95454444,28.56953333,"Wadi Raha",141,35
3,33.97913333,28.41135278,"Wadi Rahaba, Quo Monastery area",135,44
3,36.42057778,22.402975,"Abu Ramad",262,25
1,34.56416111,28.66867778,"Gabal El-Rasasa",215,11
8,34.53689444,28.75903056,"Wadi El-Rasassa",193,16
3,30.90920833,29.501725,"Qasr Rashwan",215,11
182,31.07669444,30.05385,"Abu Rawash",210,19
5,30.38086389,29.15066667,"Wadi Rayan",210,8
1,33.41618611,29.00821944,"Gebel Umm Rijlein",183,17
2,29.24184167,25.55893333,"Dakhla Oasis, Balat",233,0
7,32.34105,30.65401389,"El Ballah",217,39
1,33.91075833,26.73383056,"Safaga",226,3
1,31.28299444,29.57575278,"El Saff Plateau",220,11
3,30.68622222,29.59599722,"Qasr el Sagha",212,13
15,33.97501389,28.55570556,"St Catherine Monastery area",136,42
11,33.944225,28.55772778,"Saint Catherine",140,38
3,32.54910278,28.84748333,"St. Paul Monastery area",200,11
2,31.99516944,30.79287222,"El Salhiya",211,49
1,30.71290833,28.30507778,"Samalut, Qulugan",213,1
76,31.22232222,29.85184167,"Sakkara",218,16
9,34.40215833,28.10784722,"Wadi Sayalet El-Dalal",230,6
8,32.42823611,29.89884167,"Wadi Abu Seyala",218,22
1,32.95596389,24.21580556,"Wadi Abu Sefeira",263,1
1,32.818159,29.635493,"Wadi Sidr",216,18
8,30.96515833,29.35466667,"Seila",213,7
1,31.16991111,30.45761944,"Benha",208,25
8,33.63581111,28.65797778,"Gabal Serbal",124,64
1,35.60053889,23.139,"Mersa Shaab, 35 km south Shalatein",261,14
2,30.70238889,29.46211389,"Shakshuk",213,10
1,36.47807778,22.01236389,"Gebel Shellal",225,41
2,32.53761111,30.12076389,"El Shallufa",224,21
7,31.14655278,30.07947222,"El Baragil",209,19
2,31.29460556,30.09849167,"Sharabiya",216,21
2,31.86621667,31.40942222,"Shata",203,109
1,35.5901,22.80782778,"Wadi Chaab",258,14
1,31.24251944,30.00675,"Bab el Sharia",214,17
2,30.92853056,31.10767222,"Kafr el Sheikh",201,70
1,34.299214,27.861948,"Sharm El-Sheikh",233,4
1,33.99247778,28.63035,"Wadi el Sheikh",152,27
1,33.95553056,28.53748889,"Fresh Sheikh el Arab",113,81
